line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
448,0.126,-0.803,0.076,-18.171,-70.549,-183.78
449,-0.146,-0.831,0.093,-5.152,-61.463,-204.817
450,-0.396,-0.816,0.105,11.463,-52.073,-221.616
451,-0.603,-0.754,0.112,29.634,-45.884,-236.372
452,-0.785,-0.654,0.093,47.652,-41.494,-248.262
453,-0.903,-0.542,0.071,63.902,-34.756,-258.476
454,-0.896,-0.436,0.031,78.994,-23.72,-267.957
455,-0.83,-0.333,-0.004,94.665,-8.11,-274.329
456,-0.823,-0.212,-0.09,109.116,15.854,-278.14
457,-0.872,-0.104,-0.218,119.634,47.622,-284.177
458,-0.903,0.012,-0.347,127.683,78.628,-294.39
459,-0.901,0.121,-0.425,133.354,101.585,-307.561
460,-0.856,0.223,-0.503,136.098,116.86,-320.579
